year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2023,12,9E,Endeavor Air Inc.,JFK,"New York, NY: John F. Kennedy International",1484.0,166.0,48.06,7.7,56.57,0.0,53.67,19.0,0.0,17136.0,5363.0,1192.0,4514.0,0.0,6067.0
2023,12,OO,SkyWest Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",360.0,56.0,25.24,10.02,20.74,0.0,0.0,5.0,0.0,3788.0,1690.0,1014.0,1084.0,0.0,0.0
2023,12,AA,American Airlines Network,JFK,"New York, NY: John F. Kennedy International",1237.0,255.0,85.08,2.18,126.39,2.06,39.28,0.0,2.0,17606.0,10214.0,75.0,3851.0,45.0,3421.0
2023,12,DL,Delta Air Lines Network,JFK,"New York, NY: John F. Kennedy International",2622.0,334.0,118.41,4.29,125.89,1.6,83.81,3.0,5.0,19255.0,8095.0,288.0,4026.0,175.0,6671.0
2023,12,AS,Alaska Airlines Network,JFK,"New York, NY: John F. Kennedy International",346.0,96.0,15.51,2.18,70.86,0.0,7.45,0.0,2.0,3836.0,785.0,140.0,2372.0,0.0,539.0
2023,12,B6,JetBlue Airways,JFK,"New York, NY: John F. Kennedy International",3200.0,992.0,344.65,7.23,301.18,0.95,337.99,14.0,5.0,78842.0,32809.0,609.0,13890.0,35.0,31499.0
2023,12,HA,Hawaiian Airlines Network,JFK,"New York, NY: John F. Kennedy International",31.0,13.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,409.0,362.0,0.0,0.0,0.0,47.0
2023,12,YX,Republic Airline,JFK,"New York, NY: John F. Kennedy International",1132.0,128.0,36.52,5.13,58.45,1.0,26.9,13.0,0.0,7219.0,2018.0,312.0,2568.0,30.0,2291.0
2023,11,9E,Endeavor Air Inc.,JFK,"New York, NY: John F. Kennedy International",1575.0,119.0,41.06,6.9,37.27,0.0,33.77,0.0,0.0,7482.0,4302.0,313.0,1080.0,0.0,1787.0
2023,11,AA,American Airlines Network,JFK,"New York, NY: John F. Kennedy International",1183.0,179.0,59.47,1.98,71.6,2.59,43.36,0.0,5.0,11043.0,5439.0,91.0,1941.0,59.0,3513.0
2023,11,AS,Alaska Airlines Network,JFK,"New York, NY: John F. Kennedy International",347.0,54.0,11.96,1.22,25.32,0.0,15.49,0.0,0.0,2254.0,780.0,25.0,794.0,0.0,655.0
2023,11,B6,JetBlue Airways,JFK,"New York, NY: John F. Kennedy International",3277.0,790.0,323.68,6.46,167.37,3.22,289.27,6.0,5.0,59170.0,29824.0,577.0,6185.0,74.0,22510.0
2023,11,DL,Delta Air Lines Network,JFK,"New York, NY: John F. Kennedy International",2473.0,241.0,92.16,3.65,84.89,0.0,60.31,0.0,3.0,14557.0,6812.0,232.0,2444.0,0.0,5069.0
2023,11,HA,Hawaiian Airlines Network,JFK,"New York, NY: John F. Kennedy International",30.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,216.0,216.0,0.0,0.0,0.0,0.0
2023,11,OO,SkyWest Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",483.0,63.0,31.03,13.93,17.1,0.95,0.0,0.0,0.0,4027.0,2229.0,1025.0,747.0,26.0,0.0
