"KENNEDY NY MAY ALMANAC
Period of Record: 1948 to present All normals are from 1991-2020.
This data is unofficial and for informational purposes only.",,,,,"Forecast Office New York, NY",,,,,,,,
"For official certified climate data, please contact the National Centers for Environmental Information (NCEI).
Last updated: September 7th, 2023",,,,,,,,,,,,,
,Normal,Normal,Normal,Record,,,Record,,Record,,Record,,
,Max T,Min T,Mean T,Max T,,,Min T,,Max Precip,,Max Snow,,
Date,Value,Value,Value,Value,,Year,Value,Year,Value,Year,Value,Year,
1-May,64,48,56,84,,1957,38,2008,0.94,2012,-,-,
2-May,64,48,56,83,,2018,39,1964,1.65,1989,-,-,
3-May,65,49,57,85,,2001,40,1966,1.6,1985,-,-,
4-May,65,49,57,88,,1965,41,1957,1.08,1975,-,-,
5-May,65,49,57,85,,1955,41,2002,1.78,2017,-,-,
6-May,66,50,58,88,,1986,37,1992,1.71,1991,-,-,
7-May,66,50,58,87,,2000,38,1970,1.38,1967,-,-,
8-May,66,50,58,86,,1964,38,1956,1.54,2013,-,-,
9-May,66,50,58,86,,2000,34,2020,1.4,2012,T,2020,
10-May,67,51,59,90,,1979,34,1966,1.69,1989,-,-,
11-May,67,51,59,85,,1993,40,1966,1.09,1998,-,-,
12-May,67,51,59,89,,1991,43,2020,1.07,2019,-,-,
13-May,68,52,60,90,,1956,41,2020,1.65,2017,-,-,
14-May,68,52,60,87,,1991,39,1987,2.03,1978,-,-,
15-May,68,52,60,82,,2007,44,1966,1.18,1981,-,-,
16-May,68,52,60,83,,1993,43,1983,1.49,1989,-,-,
17-May,69,53,61,89,,1974,40,1956,1.01,2011,-,-,
18-May,69,53,61,88,,1977,42,2023,2.12,1988,-,-,
19-May,69,53,61,92,,2017,42,2002,1.76,1999,-,-,
20-May,70,54,62,95,,1996,42,2002,1.65,2023,-,-,
21-May,70,54,62,90,,1996,42,2020,1.76,2012,-,-,
22-May,70,54,62,94,,2021,43,1990,1.56,1949,-,-,
23-May,70,55,63,92,,2021,44,1963,1.99,1989,-,-,
24-May,71,55,63,86,,1964,41,1963,1.87,1978,-,-,
25-May,71,55,63,91,,1991,41,1967,1.14,2017,T,1967,
26-May,71,56,63,91,,2010,42,1967,1.69,2003,-,-,
27-May,72,56,64,86,,1985,42,1961,0.89,2018,-,-,
28-May,72,56,64,91,,1991,44,1961,1.15,1959,-,-,
29-May,72,57,64,99,,1969,46,1949,2.88,1968,T,1995,
30-May,73,57,65,92,,1987,45,1949,2.12,1984,-,-,
31-May,73,57,65,94,,2022,48,1977,1.37,1993,-,-,
,,,,,,,,,,,,,
Monthly,Avg/Totals,,,Monthly,,,,,,,,,
Extremes,,,,Normals,,,,,,,,,
May,Value,Year,,May,,Value,,,,,,,
Max Avg T,66.1,1991,,Mean Max,,68.4,,,,,,,
Min Avg T,51.7,1967,,Mean Min,,52.5,,,,,,,
Max Precip,10.71,1989,,Mean Avg,,60.5,,,,,,,
Min Precip,0.38,1955,,Mean Precip,,3.66,,,,,,,
Max Snow,T*,2020/1995,,Mean Snow,,0,,,,,,,
* occurred in multiple years,,,,,,,,,,,,,
