"KENNEDY NY DECEMBER ALMANAC
Period of Record: 1948 to present All normals are from 1991-2020.
Data seen are considered preliminary.
For official data please, contact the National Centers for Environmental Information (NCEI). Last updated: February 6th, 2024",,,,,,,,"Forecast Office New York, NY",,,,
,Normal,Normal,Normal,Record,,Record,,Record,,Record,,
,Max T,Min T,Mean T,Max T,,Min T,,Max Precip,,Max Snow,,
Date,Value,Value,Value,Value,Year,Value,Year,Value,Year,Value,Year,
1-Dec,49,36,42,68,2001,18,1967,0.97,2010,T,2019,
2-Dec,48,35,42,62,1998,17,1989,1.75,1974,0.9,2007,
3-Dec,48,35,42,66,2009,11,1976,1.46,1967,0.2,2019,
4-Dec,48,35,41,70,1998,15,1966,2.05,1968,3.2,2005,
5-Dec,47,35,41,65,2001,20,1966,1.13,2020,6.6,2003,
6-Dec,47,34,41,70,2001,19,1954,1.24,2014,5.9,2003,
7-Dec,47,34,41,75,1998,18,1954,1.79,1996,1.6,1949,
8-Dec,47,34,40,63,1951,16,1976,1.12,1969,0.7,2013,
9-Dec,46,34,40,64,1991,14,1968,3.04,2014,3.4,2017,
10-Dec,46,33,40,59,2015,9,1968,2.38,2023,2.1,2013,
11-Dec,46,33,39,67,1971,13,1988,2.55,1992,4,1960,
12-Dec,45,33,39,64,2015,7,1988,1.17,2008,8.2,1960,
13-Dec,45,33,39,70,2015,8,1960,1.42,1965,0.9,1966,
14-Dec,45,33,39,61,2015,12,1976,1.62,2019,4.5,2003,
15-Dec,45,32,38,64,2015,15,1962,1.13,1981,3.6,1968,
16-Dec,44,32,38,65,1971,13,1951,2.46,1974,3.8,2020,
17-Dec,44,32,38,61,2021,9,1951,1.17,2015,3.4,2020,
18-Dec,44,32,38,64,1984,16,1973,1.47,2023,1.4,1963,
19-Dec,44,31,37,56,1967,14,1991,1.61,1948,18,1948,
20-Dec,43,31,37,57,1999,8,1955,0.57,2002,4.7,2009,
21-Dec,43,31,37,59,2011,7,1955,1.73,2018,3.1,1962,
22-Dec,43,31,37,64,2013,9,1989,1.8,1983,3.2,1959,
23-Dec,43,30,37,63,2015,8,1989,1.16,2015,3.2,1963,
24-Dec,42,30,36,69,2015,5,1983,1.05,2014,6.4,1966,
25-Dec,42,30,36,64,2015,2,1983,1.52,1986,5,2002,
26-Dec,42,30,36,65,1982,5,1983,1.53,1969,10.5,2010,
27-Dec,42,29,36,63,2015,8,1948,0.81,1964,5.1,2010,
28-Dec,42,29,35,64,2008,11,2017,1.55,2023,5.6,1990,
29-Dec,41,29,35,65,1984,12,2017,1.2,1966,3.5,1993,
30-Dec,41,29,35,64,1984,5,1962,0.94,1948,10.3,2000,
31-Dec,41,29,35,56,2011,5,1962,1.92,1948,2.6,1967,
,,,,,,,,,,,,
Monthly,Avg/Totals,,,Monthly,,,,,,,,
Extremes,,,,Normals,,,,,,,,
December,Value,Year,,December,Value,,,,,,,
Max Avg T,50.3,2015,,Mean Max,44.5,,,,,,,
Min Avg T,26.6,1989,,Mean Min,32,,,,,,,
Max Precip,8.03,2019,,Mean Avg,38.3,,,,,,,
Min Precip,0.61,1989,,Mean Precip,3.96,,,,,,,
Max Snow,22.4,1948,,Mean Snow,4.5,,,,,,,
* occurred in multiple years,,,,,,,,,,,,
